               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  72,            0.010482,           0.0049173,          0.00042001,             0.99876,                   1,               0.995,             0.96316,           0.0059376,           0.0025462,          0.00016841,            0.002971,            0.002971,            0.002971
                  73,            0.010922,           0.0049004,          0.00040735,             0.99882,                   1,               0.995,             0.95471,            0.006051,           0.0024983,          0.00015482,            0.002872,            0.002872,            0.002872
                  74,            0.010483,           0.0045781,          0.00038278,             0.99938,                   1,               0.995,             0.95317,           0.0057413,           0.0024948,          0.00017625,            0.002773,            0.002773,            0.002773
                  75,           0.0098913,           0.0047681,          0.00032786,             0.99932,                   1,               0.995,             0.96245,           0.0056962,           0.0024914,          0.00016134,            0.002674,            0.002674,            0.002674
                  76,           0.0099649,           0.0046614,           0.0004185,             0.99912,                   1,               0.995,             0.96346,           0.0056266,            0.002465,          0.00014803,            0.002575,            0.002575,            0.002575
                  77,            0.010137,           0.0046391,           0.0002999,             0.99934,                   1,               0.995,             0.96273,           0.0058114,           0.0025587,          0.00015345,            0.002476,            0.002476,            0.002476
                  78,           0.0098357,           0.0046249,          0.00031646,             0.99929,                   1,               0.995,              0.9545,           0.0057905,           0.0025309,           0.0001588,            0.002377,            0.002377,            0.002377
                  79,           0.0094847,           0.0045945,           0.0002548,             0.99911,                   1,               0.995,             0.96029,           0.0056615,           0.0024074,          0.00015912,            0.002278,            0.002278,            0.002278
                  80,            0.009698,           0.0043628,          0.00032919,             0.99925,                   1,               0.995,             0.96287,           0.0057467,           0.0024095,          0.00014865,            0.002179,            0.002179,            0.002179
                  81,           0.0094299,           0.0043956,          0.00029033,             0.99931,                   1,               0.995,             0.96032,           0.0055615,           0.0024591,          0.00012874,             0.00208,             0.00208,             0.00208
